x,y,z,data
2050,250,154.8125,1.24261105
2150,250,154.8125,1.49469149
2250,250,154.8125,1.22539353
2350,250,154.8125,0.910429657
2450,250,154.8125,1.98729146
2550,250,154.8125,2.27999997
2650,250,154.8125,0.455353737
2750,250,154.8125,0
2850,250,154.8125,4.75E-02
2950,250,154.8125,0.210027248
3050,250,154.8125,0.191979781
3150,250,154.8125,0.141199112
3250,250,154.8125,0.117290728
3350,250,154.8125,0.122937515
3450,250,154.8125,0.143478155
3550,250,154.8125,0.141356707
3650,250,154.8125,1.55E-02
3750,250,154.8125,0
3850,250,154.8125,0
3950,250,154.8125,0.77194947
4050,250,154.8125,1.26232111
4150,250,154.8125,1.13426447
4250,250,154.8125,1.18753946
4350,250,154.8125,1.54261827
4450,250,154.8125,1.5217452
4550,250,154.8125,0.518201113
4650,250,154.8125,0.13834472
4750,250,154.8125,0.303753525
4850,250,154.8125,0.196013317
4950,250,154.8125,0.107566066
5050,250,154.8125,5.94E-02
5150,250,154.8125,4.39E-02
5250,250,154.8125,3.46E-02
5350,250,154.8125,2.90E-02
5450,250,154.8125,2.16E-02
5550,250,154.8125,1.62E-02
5650,250,154.8125,1.37E-02
5750,250,154.8125,1.55E-02
5850,250,154.8125,7.46E-03
5950,250,154.8125,3.84E-02
50,350,154.8125,0.732450724
150,350,154.8125,0.255314469
250,350,154.8125,2.37E-02
350,350,154.8125,1.97E-02
450,350,154.8125,4.83E-02
550,350,154.8125,8.18E-02
650,350,154.8125,9.52E-02
750,350,154.8125,6.10E-02
850,350,154.8125,0
950,350,154.8125,0
1050,350,154.8125,0
1150,350,154.8125,1.50523305
1250,350,154.8125,2.27999997
1350,350,154.8125,1.74250484
1450,350,154.8125,1.49583268
1550,350,154.8125,1.87874138
1650,350,154.8125,1.83624947
1750,350,154.8125,0.546448469
1850,350,154.8125,0
1950,350,154.8125,0
2050,350,154.8125,1.39947319
2150,350,154.8125,1.71254849
2250,350,154.8125,1.46610069
2350,350,154.8125,1.16970336
2450,350,154.8125,2.23052335
2550,350,154.8125,2.27999997
2650,350,154.8125,0.54602021
2750,350,154.8125,0
2850,350,154.8125,2.77E-02
2950,350,154.8125,0.179103181
3050,350,154.8125,0.161291346
3150,350,154.8125,0.114997834
3250,350,154.8125,9.47E-02
3350,350,154.8125,0.100565575
3450,350,154.8125,0.121876232
3550,350,154.8125,0.123740166
3650,350,154.8125,1.82E-02
3750,350,154.8125,0
3850,350,154.8125,0
3950,350,154.8125,0.953686953
4050,350,154.8125,1.47947407
4150,350,154.8125,1.36387777
4250,350,154.8125,1.41325712
4350,350,154.8125,1.74441826
4450,350,154.8125,1.65381217
4550,350,154.8125,0.565496922
4650,350,154.8125,0.127857596
4750,350,154.8125,0.275303245
4850,350,154.8125,0.171466559
4950,350,154.8125,8.89E-02
5050,350,154.8125,4.69E-02
5150,350,154.8125,3.25E-02
5250,350,154.8125,2.41E-02
5350,350,154.8125,1.76E-02
5450,350,154.8125,1.07E-02
5550,350,154.8125,5.30E-03
5650,350,154.8125,3.68E-03
5750,350,154.8125,6.36E-03
5850,350,154.8125,0
5950,350,154.8125,3.09E-02
50,450,154.8125,0.75163883
150,450,154.8125,0.319784969
250,450,154.8125,9.35E-02
350,450,154.8125,8.60E-02
450,450,154.8125,0.118965045
550,450,154.8125,0.157267049
650,450,154.8125,0.175903678
750,450,154.8125,0.1436297
850,450,154.8125,0
950,450,154.8125,0
1050,450,154.8125,0
1150,450,154.8125,1.42522347
1250,450,154.8125,2.22382498
1350,450,154.8125,1.60228288
1450,450,154.8125,1.37937677
1550,450,154.8125,1.74515843
1650,450,154.8125,1.70612097
1750,450,154.8125,0.550589323
