x,y,z,data
2250,450,154.8125,1.09749699
2350,450,154.8125,1.27753448
2450,450,154.8125,1.33908367
2550,450,154.8125,1.1540848
2650,450,154.8125,0.705465555
2750,450,154.8125,0.295918226
2850,450,154.8125,9.46E-02
2950,450,154.8125,4.12E-02
3050,450,154.8125,5.61E-02
3150,450,154.8125,7.58E-02
3250,450,154.8125,7.19E-02
3350,450,154.8125,4.16E-02
3450,450,154.8125,2.54E-03
3550,450,154.8125,0
3650,450,154.8125,0
3750,450,154.8125,0
3850,450,154.8125,9.82E-03
3950,450,154.8125,0.341557413
4050,450,154.8125,0.733895183
4150,450,154.8125,1.01526999
4250,450,154.8125,1.19800329
4350,450,154.8125,1.23389912
4450,450,154.8125,1.06479275
4550,450,154.8125,0.753610849
4650,450,154.8125,0.45027855
4750,450,154.8125,0.263041019
4850,450,154.8125,0.166666374
4950,450,154.8125,0.106480174
5050,450,154.8125,8.44E-02
5150,450,154.8125,5.48E-02
5250,450,154.8125,4.34E-02
5350,450,154.8125,3.12E-02
5450,450,154.8125,2.16E-02
5550,450,154.8125,1.40E-02
5650,450,154.8125,8.65E-03
5750,450,154.8125,5.74E-03
5850,450,154.8125,4.62E-03
5950,450,154.8125,4.45E-03
50,50,254.6875,0.405102998
150,50,254.6875,0.319954515
250,50,254.6875,0.161482111
350,50,254.6875,1.75E-02
450,50,254.6875,0
550,50,254.6875,0
650,50,254.6875,0
750,50,254.6875,0
850,50,254.6875,0
950,50,254.6875,0
1050,50,254.6875,9.64E-03
1150,50,254.6875,0.542090774
1250,50,254.6875,1.10656106
1350,50,254.6875,1.49109685
1450,50,254.6875,1.59771562
1550,50,254.6875,1.43327475
1650,50,254.6875,1.0274694
1750,50,254.6875,0.517170787
1850,50,254.6875,0.198500037
1950,50,254.6875,0.247325554
2050,50,254.6875,0.612438142
2150,50,254.6875,1.10371006
2250,50,254.6875,1.49811316
2350,50,254.6875,1.74445415
2450,50,254.6875,1.79333603
2550,50,254.6875,1.5388701
2650,50,254.6875,1.05531597
2750,50,254.6875,0.55889523
2850,50,254.6875,0.242623463
2950,50,254.6875,0.104181588
3050,50,254.6875,7.23E-02
3150,50,254.6875,7.44E-02
3250,50,254.6875,6.34E-02
3350,50,254.6875,2.68E-02
3450,50,254.6875,1.03E-03
3550,50,254.6875,0
3650,50,254.6875,0
3750,50,254.6875,0
3850,50,254.6875,3.09E-02
3950,50,254.6875,0.440708011
