x,z,data
   3250.00000     ,   354.824982     ,   1.42402658E-02
   3350.00000     ,   354.824982     ,   1.74258649E-02
   3450.00000     ,   354.824982     ,   6.57890690E-03
   3550.00000     ,   354.824982     ,   0.00000000    
   3650.00000     ,   354.824982     ,  0.117457867    
   3750.00000     ,   354.824982     ,   6.04904518E-02
   3850.00000     ,   354.824982     ,   4.32723528E-03
   3950.00000     ,   354.824982     ,   2.72145662E-02
   4050.00000     ,   354.824982     ,  0.211216837    
   4150.00000     ,   354.824982     ,   8.79715979E-02
   4250.00000     ,   354.824982     ,  0.192772329    
   4350.00000     ,   354.824982     ,   8.83065090E-02
   4450.00000     ,   354.824982     ,   7.88406879E-02
   4550.00000     ,   354.824982     ,   4.64902930E-02
   4650.00000     ,   354.824982     ,   2.24612677E-03
   4750.00000     ,   354.824982     ,   6.19311491E-03
   4850.00000     ,   354.824982     ,   5.95098641E-03
   4950.00000     ,   354.824982     ,   9.11666676E-02
   5050.00000     ,   354.824982     ,   7.61541873E-02
   5150.00000     ,   354.824982     ,  0.112621464    
   5250.00000     ,   354.824982     ,   9.16376710E-02
   5350.00000     ,   354.824982     ,  0.101768300    
   5450.00000     ,   354.824982     ,  0.117729113    
   5550.00000     ,   354.824982     ,   3.97098549E-02
   5650.00000     ,   354.824982     ,   4.44029502E-05
   5750.00000     ,   354.824982     ,   4.04372782E-04
   5850.00000     ,   354.824982     ,  0.223607838    
   5950.00000     ,   354.824982     ,   2.68138628E-02
   6050.00000     ,   354.824982     ,   2.01070905E-02
   6150.00000     ,   354.824982     ,   3.17475758E-02
   6250.00000     ,   354.824982     ,   8.34600776E-02
   6350.00000     ,   354.824982     ,   2.87556052E-02
   6450.00000     ,   354.824982     ,   1.81547422E-02
   6550.00000     ,   354.824982     ,   2.63580657E-03
   6650.00000     ,   354.824982     ,   2.26053828E-03
   6750.00000     ,   354.824982     ,   1.47427246E-03
   6850.00000     ,   354.824982     ,  0.117131874    
   6950.00000     ,   354.824982     ,   8.36440101E-02
   7050.00000     ,   354.824982     ,   1.90299712E-02
   7150.00000     ,   354.824982     ,   1.41391261E-02
